# fM1_exp_066_165_ARC.dat                         
#                                                 
# Z = 66, A = 165                                 
# No. of entries:            16                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     4.253     0.000   0.302E-07   0.490E-08
     4.263     0.000   0.300E-07   0.940E-08
     4.273     0.000   0.259E-07   0.700E-08
     4.277     0.000   0.257E-07   0.680E-08
     4.301     0.000   0.305E-07   0.460E-08
     4.318     0.000   0.244E-07   0.410E-08
     4.337     0.000   0.264E-07   0.560E-08
     4.342     0.000   0.241E-07   0.560E-08
     4.381     0.000   0.306E-07   0.430E-08
     4.461     0.000   0.177E-07   0.350E-08
     4.551     0.000   0.323E-07   0.400E-08
     4.560     0.000   0.240E-07   0.360E-08
     4.577     0.000   0.287E-07   0.360E-08
     4.610     0.000   0.196E-07   0.630E-08
     5.144     0.000   0.254E-07   0.520E-08
     5.179     0.000   0.371E-07   0.260E-08
