# fM1_exp_071_176_ARC.dat                         
#                                                 
# Z = 71, A = 176                                 
# No. of entries:            12                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     5.272     0.000   0.211E-07   0.150E-08
     5.316     0.000   0.143E-07   0.350E-08
     5.360     0.000   0.105E-07   0.240E-08
     5.556     0.000   0.183E-07   0.180E-08
     5.640     0.000   0.140E-07   0.310E-08
     5.655     0.000   0.217E-07   0.130E-08
     5.756     0.000   0.160E-07   0.100E-08
     5.802     0.000   0.154E-07   0.170E-08
     5.840     0.000   0.202E-07   0.100E-08
     5.909     0.000   0.196E-07   0.210E-08
     5.918     0.000   0.228E-07   0.100E-08
     5.990     0.000   0.274E-07   0.310E-08
