# fE1_exp_074_187_ARC.dat                         
#                                                 
# Z = 74, A = 187                                 
# No. of entries:            17                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.054     0.000   0.309E-07   0.440E-08
     4.121     0.000   0.440E-07   0.460E-08
     4.155     0.000   0.148E-07   0.350E-08
     4.251     0.000   0.154E-07   0.300E-08
     4.333     0.000   0.462E-07   0.430E-08
     4.374     0.000   0.287E-07   0.350E-08
     4.386     0.000   0.170E-07   0.320E-08
     4.450     0.000   0.205E-07   0.290E-08
     4.489     0.000   0.251E-07   0.330E-08
     4.602     0.000   0.603E-07   0.440E-08
     4.616     0.000   0.185E-07   0.270E-08
     4.628     0.000   0.128E-07   0.350E-08
     4.652     0.000   0.221E-07   0.310E-08
     4.686     0.000   0.290E-07   0.320E-08
     5.263     0.000   0.103E-06   0.460E-08
     5.322     0.000   0.113E-06   0.470E-08
     5.468     0.000   0.471E-07   0.250E-08
