# fE1_exp_071_176_ARC.dat                         
#                                                 
# Z = 71, A = 176                                 
# No. of entries:            26                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.189     0.000   0.708E-07   0.270E-08
     5.210     0.000   0.913E-07   0.550E-08
     5.228     0.000   0.699E-07   0.920E-08
     5.248     0.000   0.651E-07   0.270E-08
     5.259     0.000   0.680E-07   0.280E-08
     5.301     0.000   0.897E-07   0.280E-08
     5.345     0.000   0.799E-07   0.280E-08
     5.367     0.000   0.756E-07   0.590E-08
     5.382     0.000   0.102E-06   0.970E-08
     5.387     0.000   0.878E-07   0.106E-07
     5.407     0.000   0.783E-07   0.290E-08
     5.421     0.000   0.988E-07   0.290E-08
     5.429     0.000   0.795E-07   0.290E-08
     5.446     0.000   0.126E-06   0.290E-08
     5.456     0.000   0.962E-07   0.290E-08
     5.501     0.000   0.110E-06   0.290E-08
     5.526     0.000   0.762E-07   0.210E-08
     5.538     0.000   0.101E-06   0.310E-08
     5.567     0.000   0.109E-06   0.310E-08
     5.694     0.000   0.103E-06   0.210E-08
     5.785     0.000   0.791E-07   0.220E-08
     5.826     0.000   0.949E-07   0.220E-08
     5.852     0.000   0.107E-06   0.164E-07
     5.856     0.000   0.913E-07   0.900E-08
     5.984     0.000   0.126E-06   0.800E-08
     6.054     0.000   0.122E-06   0.670E-08
