# fE1_exp_049_116_DRC.dat                         
#                                                 
# Z = 49, A = 116                                 
# No. of entries:            19                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.410     0.000   0.140E-06   0.350E-07
     5.466     0.000   0.332E-07   0.830E-08
     5.492     0.000   0.186E-06   0.464E-07
     5.499     0.000   0.116E-06   0.289E-07
     5.526     0.000   0.211E-07   0.530E-08
     5.687     0.000   0.133E-06   0.333E-07
     5.704     0.000   0.684E-07   0.171E-07
     5.712     0.000   0.258E-06   0.645E-07
     5.731     0.000   0.386E-07   0.970E-08
     5.768     0.000   0.376E-06   0.941E-07
     5.777     0.000   0.119E-06   0.297E-07
     5.832     0.000   0.115E-06   0.287E-07
     5.892     0.000   0.149E-06   0.372E-07
     5.910     0.000   0.306E-07   0.770E-08
     5.934     0.000   0.157E-06   0.391E-07
     6.056     0.000   0.413E-07   0.103E-07
     6.229     0.000   0.182E-06   0.454E-07
     6.325     0.000   0.237E-06   0.592E-07
     6.411     0.000   0.447E-07   0.112E-07
