# fE1_exp_076_188_ARC.dat                         
#                                                 
# Z = 76, A = 188                                 
# No. of entries:            19                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.890     0.000   0.844E-07   0.560E-08
     5.904     0.000   0.870E-07   0.112E-07
     5.968     0.000   0.592E-04   0.000E+00
     6.024     0.000   0.157E-06   0.100E-07
     6.050     0.000   0.141E-06   0.100E-07
     6.147     0.000   0.918E-07   0.440E-08
     6.164     0.000   0.126E-06   0.100E-07
     6.182     0.000   0.934E-07   0.440E-08
     6.224     0.000   0.109E-06   0.890E-08
     6.260     0.000   0.501E-07   0.440E-08
     6.285     0.000   0.119E-06   0.890E-08
     6.369     0.000   0.860E-07   0.890E-08
     6.511     0.000   0.161E-06   0.770E-08
     6.531     0.000   0.763E-07   0.440E-08
     6.684     0.000   0.876E-07   0.770E-08
     6.903     0.000   0.149E-06   0.133E-07
     7.835     0.000   0.171E-06   0.110E-07
     7.990     0.000   0.216E-06   0.133E-07
