# fE1_exp_046_106_ARC.dat                         
#                                                 
# Z = 46, A = 106                                 
# No. of entries:            12                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     7.476     0.000   0.416E-07   0.130E-08
     7.254     0.000   0.424E-07   0.620E-08
     7.160     0.000   0.385E-07   0.180E-08
     7.076     0.000   0.341E-07   0.360E-08
     7.061     0.000   0.341E-07   0.330E-08
     6.982     0.000   0.403E-07   0.520E-08
     6.786     0.000   0.403E-07   0.360E-08
     6.663     0.000   0.289E-07   0.770E-08
     6.653     0.000   0.246E-07   0.390E-08
     6.625     0.000   0.378E-07   0.390E-08
     6.590     0.000   0.349E-07   0.520E-08
     6.490     0.000   0.401E-07   0.260E-08
