# fE1_exp_062_150_ARC.dat                         
#                                                 
# Z = 62, A = 150                                 
# No. of entries:            29                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.493     0.000   0.881E-07   0.132E-07
     5.516     0.000   0.543E-07   0.107E-07
     5.535     0.000   0.764E-07   0.760E-08
     5.619     0.000   0.910E-07   0.181E-07
     5.628     0.000   0.848E-07   0.850E-08
     5.697     0.000   0.801E-07   0.120E-07
     5.727     0.000   0.904E-07   0.900E-08
     5.740     0.000   0.885E-07   0.265E-07
     5.794     0.000   0.853E-07   0.128E-07
     5.837     0.000   0.756E-07   0.151E-07
     5.893     0.000   0.801E-07   0.960E-08
     5.926     0.000   0.765E-07   0.114E-07
     5.933     0.000   0.628E-07   0.126E-07
     5.944     0.000   0.705E-07   0.570E-08
     5.964     0.000   0.750E-07   0.900E-08
     5.968     0.000   0.772E-07   0.155E-07
     5.984     0.000   0.585E-07   0.700E-08
     6.018     0.000   0.878E-07   0.510E-08
     6.154     0.000   0.706E-07   0.700E-08
     6.169     0.000   0.120E-06   0.720E-08
     6.194     0.000   0.632E-07   0.950E-08
     6.345     0.000   0.962E-07   0.480E-08
     6.483     0.000   0.106E-06   0.740E-08
     6.539     0.000   0.922E-07   0.460E-08
     6.571     0.000   0.100E-06   0.700E-08
     6.793     0.000   0.110E-06   0.880E-08
     6.941     0.000   0.924E-07   0.740E-08
     7.214     0.000   0.107E-06   0.540E-08
     7.653     0.000   0.144E-06   0.710E-08
