# fM1_exp_092_239_ARC.dat                         
#                                                 
# Z = 92, A = 239                                 
# No. of entries:            17                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     3.485     0.000   0.339E-07   0.840E-08
     3.488     0.000   0.296E-07   0.840E-08
     3.500     0.000   0.233E-07   0.550E-08
     3.529     0.000   0.212E-07   0.640E-08
     3.536     0.000   0.127E-07   0.380E-08
     3.546     0.000   0.174E-07   0.380E-08
     3.574     0.000   0.111E-07   0.210E-08
     3.651     0.000   0.286E-07   0.510E-08
     3.800     0.000   0.950E-08   0.210E-08
     3.841     0.000   0.132E-07   0.250E-08
     3.953     0.000   0.154E-07   0.130E-08
     4.070     0.000   0.920E-08   0.340E-08
     4.080     0.000   0.192E-07   0.340E-08
     4.090     0.000   0.111E-07   0.170E-08
     4.118     0.000   0.132E-07   0.130E-08
     4.660     0.000   0.167E-07   0.100E-08
     4.672     0.000   0.223E-07   0.100E-08
