# fE1_exp_092_237_DRC.dat                         
#                                                 
# Z = 92, A = 237                                 
# No. of entries:            14                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     3.863     0.000   0.174E-07   0.440E-08
     3.912     0.000   0.143E-07   0.360E-08
     3.925     0.000   0.222E-07   0.560E-08
     3.944     0.000   0.564E-07   0.141E-07
     3.951     0.000   0.487E-07   0.122E-07
     4.004     0.000   0.147E-07   0.370E-08
     4.018     0.000   0.157E-07   0.390E-08
     4.217     0.000   0.406E-07   0.102E-07
     4.262     0.000   0.477E-07   0.119E-07
     4.368     0.000   0.584E-07   0.146E-07
     4.392     0.000   0.204E-07   0.510E-08
     4.406     0.000   0.107E-07   0.270E-08
     4.572     0.000   0.511E-07   0.128E-07
     4.586     0.000   0.825E-07   0.206E-07
